label,corpus name,subset,type,num channels,num arrays,num source positions,num ris,sampling rate [kHz],compression,RT60 [ms],nbits,room size [m],noise,license,project page link,download link
openair-25,Openair,"P/L/001 Physics, University of York",rir,4+16,4,2,8 (auto),48+,unknown,with,24,"auditorium, hall",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=26,https://webfiles.york.ac.uk/OPENAIR/IRs/PL001/PL001-UoY.zip
openair-26,Openair,R1 Nuclear Reactor Hall,rir,1+2+2+4+5.1,1,1,1 (auto),"44.1, 48+",unknown,with,24,chamber,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=27,https://webfiles.york.ac.uk/OPENAIR/IRs/r1-nuclear-reactor-hall/r1-nuclear-reactor-hall.zip
openair-27,Openair,"Ron Cooke Hub, University of York",rir,4,3,4,10,48+,unknown,with,24,18000 m^3,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=28,https://webfiles.york.ac.uk/OPENAIR/IRs/ron-cooke-hub-university-york/ron-cooke-hub-university-york.zip
openair-28,Openair,Saint Lawrence Church Molenbeek-Wersbeek Belgium,rir,2,1,1,1,96,unknown,with,24,church,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=29,https://webfiles.york.ac.uk/OPENAIR/IRs/saint-lawrence-church-molenbeek-wersbeek-belgium/saint-lawrence-church-molenbeek-wersbeek-belgium.zip
openair-29,Openair,Slinky IR,air,1,1,1,1,44.1,unknown,with,32,other,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=30,https://webfiles.york.ac.uk/OPENAIR/IRs/slinky-ir/slinky-ir.zip
openair-3,Openair,"Alcuin College, University of York",air,4,3,4,12 (auto),48+,unknown,with,16,open air,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=4,https://webfiles.york.ac.uk/OPENAIR/IRs/alcuin-college-university-york/alcuin-college-university-york.zip
openair-30,Openair,Spokane Woman's Club,rir,2,1,1,1,44.1,unknown,with,24,hall,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=31,https://webfiles.york.ac.uk/OPENAIR/IRs/spokane-womans-club/spokane-womans-club.zip
openair-31,Openair,"Sports Centre, University of York",rir,1+1+2+4+5.1,1,1,5,96,unknown,with,24,9000 m^3,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=32,https://webfiles.york.ac.uk/OPENAIR/IRs/sports-centre-university-york/sports-centre-university-york.zip
openair-32,Openair,"Spring Lane Building, University of York",rir,2+4,9,2,20,44.1,unknown,with,24,"hall, open air",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=33,https://webfiles.york.ac.uk/OPENAIR/IRs/spring-lane-building-university-york/spring-lane-building-university-york.zip
openair-33,Openair,St Andrew’s Church,rir,2+4,1,1,2,48,unknown,with,"32, 24","church, 2600 m^3",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=34,https://webfiles.york.ac.uk/OPENAIR/IRs/st-andrews-church/st-andrews-church.zip
openair-34,Openair,St Matthew's Church - Walsall,rir,1,4,2,6,96,unknown,with,32,church,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=35,https://webfiles.york.ac.uk/OPENAIR/IRs/st-matthews-church-walsall/st-matthews-church-walsall.zip
openair-35,Openair,St. George’s Episcopal Church,rir,2,3,1,3,96,unknown,with,24,"church, 27.28 x 20.93 x 14.25",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=36,https://webfiles.york.ac.uk/OPENAIR/IRs/st-georges-episcopal-church/st-georges-episcopal-church.zip
openair-36,Openair,St. Margaret's Church - National Centre for Early Music,rir,4,26,3,78,96,unknown,with,24,"church, 3600m^3",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=37,https://webfiles.york.ac.uk/OPENAIR/IRs/st-margarets-church-national-centre-early-music/st-margarets-church-national-centre-early-music.zip
openair-37,Openair,St. Margaret’s Church (NCEM) 5 Piece Band Spatial Measurements,rir,2+4,2,5,15,44.1,unknown,with,24,"church, 1500m^3",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=38,https://webfiles.york.ac.uk/OPENAIR/IRs/st-margarets-church-ncem-5-piece-band-spatial-measurements/st-margarets-church-ncem-5-piece-band-spatial-measurements.zip
openair-38,Openair,"St. Patrick’s Church, Patrington",rir,2+4,3,6,3,96,unknown,with,24,"church, 8000m^3",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=39,https://webfiles.york.ac.uk/OPENAIR/IRs/st-patricks-church-patrington/st-patricks-church-patrington.zip
openair-39,Openair,"Stairway, University of York",rir,2,1,1,1,96,unknown,with,24,stairs,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=40,https://webfiles.york.ac.uk/OPENAIR/IRs/stairway-university-york/stairway-university-york.zip
openair-4,Openair,"Arthur Sykes Rymer Auditorium, University of York.",rir,4,3,2,6 (auto),48+,unknown,with,24,auditorium,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=5,https://webfiles.york.ac.uk/OPENAIR/IRs/arthur-sykes-rymer-auditorium-university-york/arthur-sykes-rymer-auditorium-university-york.zip
openair-40,Openair,"T2 Hangar, Yorkshire Air Museum",rir,4,2,4,8,44.1,unknown,with,24,hall,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=41,https://webfiles.york.ac.uk/OPENAIR/IRs/air-museum/air-museum.zip
openair-41,Openair,Terry’s Factory Warehouse,rir,1+1+2+4+5.1,1,1,4,48,unknown,with,24,"hall, 4500m^3",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=42,https://webfiles.york.ac.uk/OPENAIR/IRs/terrys-factory-warehouse/terrys-factory-warehouse.zip
openair-42,Openair,Terry's Typing Room,rir,1+1+2+4+5.1,1,1,4,96,unknown,with,24,"hall, 3500m^3",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=43,https://webfiles.york.ac.uk/OPENAIR/IRs/terrys-typing-room/terrys-typing-room.zip
